FNODE_,TNODE_
2012190,2012200
2012200,2012730
2012240,2011900
2012250,2012120
2012310,2012320
2012320,2013000
2012330,2011950
2012340,2011860
2012370,2012500
2012380,2012240
2012410,2012900
2012430,2012410
2012490,2012330
2012500,2012540
2012510,2012270
2012530,2012510
2012540,2012600
2012580,2012570
2012590,2012610
2012600,2012590
2012610,2012700
2012630,2012640
2012670,2012980
2012680,2012700
2012700,2012800
2012730,2012940
2012740,2012750
2012750,2012960
2012770,2013110
2012780,2012770
2012790,2012840
2012800,2012940
2012840,2012680
2012850,2011580
2012860,2012840
2012870,2012780
2012880,2012890
2012890,2013000
2012900,2012870
2012910,2012870
2012920,2012860
2012930,2012900
2012940,2014270
2012960,2013090
2012970,2012530
2012980,2013320
2012990,2012920
2013000,2013680
2013010,2011730
2013040,2012930
2013050,2012530
2013060,2013070
2013070,2013220
2013080,2012170
2013090,2013150
2013100,2012380
2013110,2013230
2013150,2013680
2013160,2013150
2013190,2013200
2013210,2013200
2013220,2012430
2013230,2013420
2013270,2013040
2013310,2013100
2013320,2013370
2013350,2013270
2013360,2014220
2013370,2013390
2013380,2013440
2013390,2013720
2013420,2013380
2013430,2013480
2013440,2013430
2013450,2013460
2013460,2013580
2013480,2013530
2013490,2013500
2013500,2012910
2013510,2013370
2013520,2013460
2013530,2012990
2013540,2013550
2013550,2013560
2013560,2012330
2013570,2013270
2013580,2013570
2013600,2013610
2013610,2013500
2013620,2013630
2013630,2013750
2013670,2012620
2013680,2013800
2013710,2013850
2013720,2013710
2013750,2013860
2013770,2012490
2013800,2013830
2013820,2013260
2013830,2013980
2013850,2013990
2013870,2013970
2013880,2013870
2013890,2013070
2013910,2013510
2013920,2013570
2013950,2013310
2013970,2014010
2013980,2014020
2013990,2014310
2014000,2013560
2014010,2015090
2014060,2014020
2014090,2014000
2014110,2014120
2014120,2014390
2014130,2014120
2014210,2013540
2014220,2015870
2014260,2013860
2014270,2013880
2014300,2013580
2014310,2014470
2014320,2014270
2014360,2014370
2014370,2014380
2014380,2014170
2014390,2014250
2014400,2014410
2014410,2014000
2014430,2014400
2014440,2014300
2014450,2012340
2014470,2014870
2014480,2014440
2014540,2013610
2014580,2014590
2014590,2014730
2014620,2013540
2014680,2014590
2014730,2015030
2014760,2014770
2014770,2014340
2014780,2014320
2014810,2014090
2014820,2014780
2014830,2014480
2014870,2014910
2014900,2014770
2014910,2015080
2014960,2014820
2014970,2013820
2014980,2014990
2014990,2015230
