143.11,Total functional habitat (sq_km),,,,,,
1045.92,Maximum habitat (sq_km),,,,,,
0,Channel width threshold (m),,,,,,
0,Slope threshold (m/m),,,,,,
0,Omit tidal reaches,,,,,,
UNIQUE_ID, type, catchmentID, habitat_sqkm, habitatSegment_sqkm, functional_habitatSegment_sqkm, PassageToHabitat, Decision
5860871,outlet,5860871,0.016551777,0.006455384,0.006455384,1,outlet
5878897,outlet,5878897,0.093886334,0.00643582,0.00643582,1,outlet
1736338,outlet,1736338,0.006410602,0.006410602,0.006410602,1,outlet
2686252,outlet,2686252,0.006396361,0.006396361,0.006396361,1,outlet
6129091,outlet,6129091,0.047824133,0.006253633,0.006253633,1,outlet
2683448,outlet,2683448,0.006171531,0.006171531,0.006171531,1,outlet
2685526,outlet,2685526,0.006131433,0.006131433,0.006131433,1,outlet
2682198,outlet,2682198,0.015914654,0.006115535,0.006115535,1,outlet
5882177,outlet,5882177,0.006064979,0.006064979,0.006064979,1,outlet
2685780,outlet,2685780,0.005945973,0.005945973,0.005945973,1,outlet
6170370,outlet,6170370,0.005920631,0.005920631,0.005920631,1,outlet
2680398,outlet,2680398,0.005911328,0.005911328,0.005911328,1,outlet
2682926,outlet,2682926,0.005899981,0.005899981,0.005899981,1,outlet
6181330,outlet,6181330,0.005865769,0.005865769,0.005865769,1,outlet
6129249,outlet,6129249,0.005780246,0.005780246,0.005780246,1,outlet
7732701,outlet,7732701,0.005779971,0.005779971,0.005779971,1,outlet
6719393,outlet,6719393,0.005732474,0.005732474,0.005732474,1,outlet
2676690,outlet,2676690,0.00572544,0.00572544,0.00572544,1,outlet
5863857,outlet,5863857,0.005701993,0.005701993,0.005701993,1,outlet
2683050,outlet,2683050,0.005685582,0.005685582,0.005685582,1,outlet
5860839,outlet,5860839,0.005610401,0.005610401,0.005610401,1,outlet
6719385,outlet,6719385,0.005577366,0.005577366,0.005577366,1,outlet
6170364,outlet,6170364,0.019686603,0.005411413,0.005411413,1,outlet
7733287,outlet,7733287,0.018863524,0.005283833,0.005283833,1,outlet
2676092,outlet,2676092,0.005259681,0.005259681,0.005259681,1,outlet
2676856,outlet,2676856,0.005228624,0.005228624,0.005228624,1,outlet
2676142,outlet,2676142,0.005196807,0.005196807,0.005196807,1,outlet
5844450,outlet,5844450,0.005100198,0.005100198,0.005100198,1,outlet
