UNIQUE_ID,COMID,type,TERMCODE,TERMNAME_HUC10,TERMNAME_HUC8,TERMNAME_HUC6,TERMNAME_HUC4,TERMNAME_HUC2,damName,latitude,longitude
92003790,92003790,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.69424138,-60.84593491
92003870,92003870,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.7116236,-60.54732144
92003950,92003950,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.6850853,-64.77387238
92003960,92003960,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.68167439,-64.76745062
92004100,92004100,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.66666545,-60.52691111
92004160,92004160,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.65686613,-60.96353599
92004430,92004430,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.63489505,-60.53306241
92004550,92004550,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.62379456,-64.26152039
92004640,92004640,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.61433563,-60.47463464
92005040,92005040,outlet,NICN910000000,Indian,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.56914011,-60.51909518
92005210,92005210,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.55300436,-60.90946116
92005350,92005350,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.53242473,-60.9222081
92005500,92005500,outlet,NICN910000000,Indian,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.52297727,-60.42660221
92005640,92005640,outlet,NICN910000000,Central Prince Edward Island - Wilmot,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.51425917,-63.86126786
